SEAS   YR  ANOM
DJF  1950  -1.32
JFM  1950  -1.20
FMA  1950  -1.12
MAM  1950  -1.08
AMJ  1950  -1.10
MJJ  1950  -0.90
JJA  1950  -0.62
JAS  1950  -0.57
ASO  1950  -0.56
SON  1950  -0.62
OND  1950  -0.66
NDJ  1950  -0.79
DJF  1951  -0.66
JFM  1951  -0.36
FMA  1951  -0.04
MAM  1951   0.16
AMJ  1951   0.27
MJJ  1951   0.50
JJA  1951   0.71
JAS  1951   0.90
ASO  1951   1.02
SON  1951   1.03
OND  1951   0.96
NDJ  1951   0.71
DJF  1952   0.52
JFM  1952   0.27
FMA  1952   0.33
MAM  1952   0.18
AMJ  1952  -0.07
MJJ  1952  -0.44
JJA  1952  -0.45
JAS  1952  -0.20
ASO  1952   0.03
SON  1952   0.04
OND  1952  -0.11
NDJ  1952   0.06
DJF  1953   0.25
JFM  1953   0.50
FMA  1953   0.48
MAM  1953   0.56
AMJ  1953   0.77
MJJ  1953   0.74
JJA  1953   0.63
JAS  1953   0.68
ASO  1953   0.59
SON  1953   0.78
OND  1953   0.52
NDJ  1953   0.56
DJF  1954   0.41
JFM  1954   0.35
FMA  1954   0.01
MAM  1954  -0.27
AMJ  1954  -0.48
MJJ  1954  -0.48
JJA  1954  -0.67
JAS  1954  -0.83
ASO  1954  -0.73
SON  1954  -0.52
OND  1954  -0.40
NDJ  1954  -0.44
DJF  1955  -0.50
JFM  1955  -0.48
FMA  1955  -0.58
MAM  1955  -0.76
AMJ  1955  -0.78
MJJ  1955  -0.88
JJA  1955  -0.72
JAS  1955  -0.92
ASO  1955  -1.11
SON  1955  -1.44
OND  1955  -1.59
NDJ  1955  -1.51
DJF  1956  -1.17
JFM  1956  -0.81
FMA  1956  -0.57
MAM  1956  -0.51
AMJ  1956  -0.49
MJJ  1956  -0.47
JJA  1956  -0.55
JAS  1956  -0.52
ASO  1956  -0.43
SON  1956  -0.39
OND  1956  -0.37
NDJ  1956  -0.39
DJF  1957  -0.27
JFM  1957  -0.06
FMA  1957   0.26
MAM  1957   0.63
AMJ  1957   0.72
MJJ  1957   0.82
JJA  1957   0.96
JAS  1957   1.03
ASO  1957   1.12
SON  1957   1.15
OND  1957   1.39
NDJ  1957   1.62
DJF  1958   1.69
JFM  1958   1.59
FMA  1958   1.17
MAM  1958   0.84
AMJ  1958   0.57
MJJ  1958   0.49
JJA  1958   0.43
JAS  1958   0.32
ASO  1958   0.28
SON  1958   0.30
OND  1958   0.36
NDJ  1958   0.56
DJF  1959   0.60
JFM  1959   0.64
FMA  1959   0.48
MAM  1959   0.39
AMJ  1959   0.24
MJJ  1959   0.02
JJA  1959  -0.19
JAS  1959  -0.23
ASO  1959  -0.04
SON  1959   0.11
OND  1959   0.23
NDJ  1959   0.14
DJF  1960   0.02
JFM  1960   0.03
